City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Tiarei,PF,2021-03-25 12:42:53,-17.5333,-149.3333,78.8,73,75,2.3
202,Camden,US,2021-03-25 12:42:24,39.7835,-74.9663,55.99,90,100,0.83
203,Haines Junction,CA,2021-03-25 12:42:53,60.7522,-137.5108,1.4,85,100,0.47
204,Bandundu,CD,2021-03-25 12:42:54,-3.3167,17.3667,74.08,85,100,4.79
205,Port Hedland,AU,2021-03-25 12:42:54,-20.3167,118.5667,82.4,78,6,8.05
206,Belleville,CA,2021-03-25 12:42:54,44.1788,-77.3705,52.0,93,40,8.05
207,Ballina,AU,2021-03-25 12:42:55,-28.8667,153.5667,66.2,88,0,5.84
208,Chala,TZ,2021-03-25 12:42:55,-7.5833,31.2667,75.2,53,20,5.75
209,Urucara,BR,2021-03-25 12:42:56,-2.5364,-57.76,72.64,97,100,2.24
210,Korem,ET,2021-03-25 12:42:56,12.5058,39.5228,72.46,9,60,11.97
211,Upernavik,GL,2021-03-25 12:42:56,72.7868,-56.1549,-18.18,82,99,1.66
212,Sao Filipe,CV,2021-03-25 12:42:57,14.8961,-24.4956,70.09,80,0,13.18
213,Salym,RU,2021-03-25 12:42:57,60.0625,71.4789,24.91,89,22,5.37
214,Tongchuan,CN,2021-03-25 12:42:58,35.0806,109.0897,60.51,51,99,6.64
215,Paramirim,BR,2021-03-25 12:42:58,-13.4425,-42.2389,84.09,28,0,7.2
216,Los Andes,CL,2021-03-25 12:42:59,-32.8337,-70.5983,55.99,99,12,1.01
217,Camacha,PT,2021-03-25 12:42:59,33.0833,-16.3333,66.2,77,40,16.11
218,Tiksi,RU,2021-03-25 12:42:59,71.6872,128.8694,-11.74,95,100,5.97
219,Malakal,SS,2021-03-25 12:40:04,9.5334,31.6605,107.51,16,52,3.09
220,Tuatapere,NZ,2021-03-25 12:43:00,-46.1333,167.6833,50.0,95,100,1.01
221,Nago,JP,2021-03-25 12:43:00,26.5881,127.9761,69.8,88,75,10.36
222,Doha,QA,2021-03-25 12:43:01,25.2867,51.5333,88.0,74,0,10.36
223,Isangel,VU,2021-03-25 12:43:01,-19.55,169.2667,74.95,77,5,7.29
224,Xingcheng,CN,2021-03-25 12:43:01,40.6167,120.7167,52.14,42,47,10.36
225,Naron,ES,2021-03-25 12:43:02,43.5167,-8.1528,57.2,58,20,8.05
226,Tuburan,PH,2021-03-25 12:43:02,6.6439,122.2736,78.8,89,20,6.91
